case_id,ai_root_cause,ai_confidence,decision,corrected_root_cause,reviewer_notes
CASE020,"No static route was added for the new branch subnet 192.168.50.0/24, so traffic follows the default route instead.",0.77,Accepted,,Matches routing table evidence.
CASE021,ACL 101 inbound on Gi0/0.30 permits ICMP but explicitly denies TCP port 80.,0.88,Accepted,,Matches 'show access-lists' evidence exactly.
CASE022,A new permit rule was added to the ACL but traffic is still blocked by an existing rule.,0.6,Edited,"The new permit line was appended AFTER an existing 'deny ip any any', so it is unreachable - ACL rule ORDER is the root cause, not just 'an existing rule'.",AI's answer was directionally correct but too vague to act on; edited to name the specific ordering problem so the fix (move the line above the deny) is unambiguous.
CASE023,The vty access-class ACL only permits a single host and does not include the admin's actual IP.,0.8,Accepted,,Matches vty ACL evidence.
CASE024,The ACL blocks DNS responses from the server back to clients.,0.7,Accepted,,Matches missing return-traffic rule in ACL 102.
CASE025,NAT is not translating traffic because 'ip nat inside'/'ip nat outside' are missing from the interfaces.,0.85,Accepted,,Matches empty NAT translation table + missing interface roles.
CASE026,An ACL is blocking outbound traffic for all but one internal host.,0.42,Rejected,"NAT pool INSIDE-POOL is configured without the 'overload' keyword and contains only one public address, so only one simultaneous PAT translation is possible.",No ACL evidence supports the AI's answer at all; the actual config clearly shows a missing 'overload' keyword on the NAT pool. Rejected and replaced.
CASE027,No static NAT/port-forward rule exposes Server0's port 80 to the public interface.,0.83,Accepted,,Matches config evidence exactly.
CASE028,"192.168.30.0/24 is missing from the NAT source access-list, so VLAN 30 traffic is never translated.",0.81,Accepted,,Matches 'show access-lists' evidence.
CASE029,The laptop is using an incorrect or outdated WPA2-PSK passphrase.,0.75,Accepted,,Matches the cached-passphrase evidence.
CASE030,No problem detected - guest devices reaching internal hosts is expected behavior on a shared LAN.,0.3,Rejected,"Guest VLAN 40 has no inter-VLAN ACL isolating it from the internal 192.168.10.0/24 staff subnet - this is a security/isolation gap that needs a deny ACL, not expected behavior.","The AI treated the absence of an explicit rule checker HIGH-severity finding as 'no problem,' but this is a real security gap. Rejected: human reviewer flagged it as a required remediation, reinforcing that the rule checker's silence is not the same as 'safe.'"
CASE031,Overlapping access points on the same channel are causing co-channel interference and client disconnects.,0.68,Accepted,,Matches AP channel-plan evidence.
CASE032,The laptop's wireless adapter is configured for WEP while the AP uses WPA2-PSK.,0.78,Accepted,,Matches the 'security key mismatch' error and adapter config evidence.
