case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity
TC011,PC1 gets IP 169.254.45.12 (APIPA),PC1 -> SW1,"SW1# show vlan brief: Fa0/1 (PC1) in VLAN 10 active. R1# show ip dhcp pool: Pool LAN10 Current index 192.168.10.254, Leased addresses: 253/253",DHCP IP Pool exhaustion,7,DHCP,High
TC012,PC1 and PC2 cannot communicate in VLAN 10 across switches,PC1 -> SW1 <---> SW2 -> PC2,"SW1# show interfaces Gi0/1 switchport: Administrative Mode: trunk, Operational Mode: trunk. SW2# show interfaces Gi0/1 switchport: Administrative Mode: static access, Operational Mode: static access",Trunk negotiation failure / Mode mismatch (Dynamic/Access vs Trunk),2,VLAN/Trunk,Medium
TC013,R1 and R2 fail to form EIGRP adjacency,R1 (Gi0/0) <---> R2 (Gi0/0),"R1# show run | sec router eigrp: router eigrp 100 | network 10.0.0.0. R2# show run | sec router eigrp: router eigrp 200 | network 10.0.0.0",EIGRP Autonomous System (AS) number mismatch,3,EIGRP,High
TC014,Native VLAN traffic is leaking / CDP warnings on console,SW1 <---> SW2,"SW1# show interfaces trunk: Gi0/1 Native VLAN: 1. SW2# show interfaces trunk: Gi0/1 Native VLAN: 99",Native VLAN mismatch across 802.1Q trunk link,2,VLAN,Medium
TC015,PC1 cannot ping PC2 on same subnet,PC1 (192.168.1.10/24) -> SW1 <- PC2 (192.168.1.20/24),"SW1# show mac address-table: Fa0/1 (PC1) MAC aaaa.bbbb.cccc VLAN 10. SW1# show mac address-table: Fa0/2 (PC2) MAC dddd.eeee.ffff VLAN 20",Access switchports configured in different VLANs,2,VLAN,High
TC016,Admin cannot SSH into Switch SW1,Admin -> SW1,"SW1# show run | sec line vty: line vty 0 4 | login local | transport input telnet",VTY line transport input configured for Telnet only (SSH disabled),7,Management,Low
TC017,R1 cannot ping external DNS 8.8.8.8,R1 (Inside) -> R2 (ISP),"R1# show ip route: 0.0.0.0/0 [1/0] via 203.0.113.2. R1# show ip interface brief: Gi0/1 is up/up (203.0.113.1/30). R2# show ip route: Gateway of last resort is not set",ISP router missing reverse route back to R1 public IP block,3,Routing,High
TC018,PC1 receives duplicate IP address collision warning,PC1 -> SW1,"PC1# ipconfig: 192.168.1.50. SW1# show arp: 192.168.1.50 MAC 0001.9611.2233. Static Printer is assigned 192.168.1.50. R1# show ip dhcp pool: network 192.168.1.0/24 without excluded-address",DHCP pool missing `ip dhcp excluded-address` for static devices,3,DHCP,High
TC019,OSPF Area 1 routers cannot reach backbone Area 0,R1 (Area 1) -> R2 (Area 2) -> R3 (Area 0),"R2# show ip ospf: Area 1 and Area 2 active. R2# show ip route ospf: No inter-area routes from Area 0",Discontiguous backbone / Area 1 not directly connected to Area 0 without virtual-link,3,OSPF,High
TC020,Web traffic to server fails intermittently (50% drop),Client -> SW1 -> Server,"SW1# show interfaces Fa0/1: Fa0/1 is up, line protocol is up | Half-duplex, 100Mb/s. Server# ethtool eth0: Speed: 100Mb/s, Duplex: Full, Late Collisions: 4821",Duplex mismatch (Half Duplex vs Full Duplex) causing collisions,1,Physical/Ethernet,Medium
TC021,PC1 cannot ping Gateway 10.1.1.1,PC1 -> SW1 -> R1,"PC1# ipconfig: IPv4 10.1.1.50 Subnet 255.255.255.0 Gateway 10.1.1.254. R1# show ip interface brief: Gi0/0 is 10.1.1.1/24",Default Gateway IP misconfigured on client host,3,IP/Gateway,High
TC022,RIPv2 routes are not being advertised across subnets,R1 <---> R2,"R1# show run | sec router rip: router rip | version 2 | network 172.16.0.0 | auto-summary. R2# show ip route rip: Empty",Automatic network summarization enabled on classful boundary in RIPv2,3,RIP,Medium
TC023,Guest Wi-Fi users can access internal private servers,Guest AP -> SW1 -> Core Router,"SW1# show run int Fa0/10 (AP Port): switchport access vlan 10 (Corporate VLAN). SW1# show vlan brief: VLAN 10 Corporate, VLAN 50 Guest",Guest Access Point SSID mapped to internal corporate VLAN instead of isolated guest VLAN,2,Wireless/Security,High
TC024,R1 interface fails to send packets to R2,R1 (Serial0/0/0) <---> R2 (Serial0/0/0),"R1# show interfaces Serial0/0/0: Serial0/0/0 is up, line protocol is down. R1# show controllers Serial0/0/0: DCE cable, clock rate not set",Missing clock rate on serial DCE interface,1,Serial/L1,High
TC025,Core switch STP loop causing 100% CPU utilization,SW1 <---> SW2 <---> SW3,"SW1# show spanning-tree: Spanning tree disabled on VLAN 10. SW2# show spanning-tree: Spanning tree enabled",Spanning Tree Protocol (STP) inadvertently disabled on switch,2,STP,High
TC026,Inside PC unable to browse HTTP/HTTPS outside,PC -> R1 (NAT Router) -> Internet,"R1# show run int Gi0/0 (LAN): ip address 192.168.1.1. R1# show run int Gi0/1 (WAN): ip address 200.1.1.1 | ip nat outside. R1# show ip nat translations: Empty",Missing `ip nat inside` command on router LAN interface,3,NAT,High
TC027,HSRP standby router stays in Active state causing IP conflict,R1 (Gi0/0) & R2 (Gi0/0) on same segment,"R1# show standby brief: Group 1, State Active, Virtual IP 192.168.1.1. R2# show standby brief: Group 2, State Active, Virtual IP 192.168.1.1",HSRP group number mismatch on redundant routers,3,FHRP/HSRP,High
TC028,Branch router cannot establish IPsec VPN tunnel,Branch R1 <---> HQ R2,"Branch# show crypto isakmp sa: MM_NO_STATE. Branch# show crypto isakmp policy: encryption aes, hash sha, group 2, auth pre-share. HQ# show crypto isakmp policy: encryption 3des, hash sha, group 2, auth pre-share",Phase 1 ISAKMP encryption algorithm mismatch (AES vs 3DES),3,VPN/IPsec,High
TC029,PC1 cannot reach internet through IPv6 SLAAC,PC1 -> R1 (Gi0/0),"PC1# ipconfig: IPv6 fe80::1 link-local only. R1# show run int Gi0/0: ipv6 address 2001:db8:acad:1::1/64. R1# show ipv6 interface Gi0/0: ND router advertisements are suppressed",IPv6 unicast-routing disabled globally or ND RA suppressed,3,IPv6,Medium
TC030,CDP/LLDP cannot detect directly connected neighbor,SW1 (Gi0/1) <---> SW2 (Gi0/1),"SW1# show cdp neighbors: Empty. SW1# show run | inc cdp: no cdp run",Cisco Discovery Protocol (CDP) globally disabled on switch,2,CDP/Discovery,Low
